Annee;Temperature_annuelle_moyenne;Max_Temperature_annuelle_moyenne;Min_Temperature_annuelle_moyenne;Quantite_totale_precipitations;Vitesse_annuelle_moyenne_du_vent;Nombre_de_jours_avec_pluie;Nombre_de_jours_avec_neige;Nombre_de_jours_avec_orage;Nombre_de_jours_avec_brouillard;Nombre_de_jours_avec_grele;Ville;Latitude;Longitude
1996;11.2;16.2;5.7;865.36;10.2;164;26;24;28;0;Clermont-Ferrand;45.101;3.39
1997;12.7;18.4;6.8;373.11;10.2;133;14;21;21;0;Clermont-Ferrand;45.102;3.40
1998;12.0;17.3;6.3;495.03;11.5;144;10;15;20;1;Clermont-Ferrand;45.103;3.41
1999;12.1;17.5;6.9;512.30;11.9;179;27;36;18;1;Clermont-Ferrand;45.104;3.42
2000;12.2;18.0;7.0;557.50;11.8;167;7;37;8;5;Clermont-Ferrand;45.105;3.43
2001;11.7;17.0;6.6;528.54;11.5;183;16;19;27;2;Clermont-Ferrand;45.106;3.44
2002;-;-;-;-;-;177;2;24;17;1;Clermont-Ferrand;45.107;3.45
2003;12.6;18.6;6.9;452.05;11.0;148;19;28;23;1;Clermont-Ferrand;45.108;3.46
2004;11.4;16.8;6.5;661.33;10.6;173;18;31;18;2;Clermont-Ferrand;45.109;3.47
2005;-;-;-;-;-;-;-;-;-;-;Clermont-Ferrand;45.110;3.48
2006;12.2;17.7;7.0;697.01;10.5;154;18;32;32;0;Clermont-Ferrand;45.111;3.49
2007;11.8;17.1;6.8;561.31;10.2;173;13;34;28;0;Clermont-Ferrand;45.112;3.50
2008;11.3;16.9;6.1;742.18;9.8;184;19;21;27;1;Clermont-Ferrand;45.113;3.51
2009;12.0;17.8;6.6;507.44;9.8;146;19;34;22;2;Clermont-Ferrand;45.114;3.52
2010;10.7;16.0;5.6;732.51;9.7;164;34;18;30;2;Clermont-Ferrand;45.115;3.53
2011;12.7;18.7;7.1;511.76;8.6;151;9;37;26;3;Clermont-Ferrand;45.116;3.54
2012;11.9;17.6;6.5;461.98;9.8;169;12;30;27;1;Clermont-Ferrand;45.117;3.55
2013;11.2;16.5;6.2;577.27;9.5;180;26;27;32;1;Clermont-Ferrand;45.118;3.56
2014;12.7;18.5;7.1;596.35;9.6;190;5;41;20;2;Clermont-Ferrand;45.119;3.57
2015;12.7;18.9;-;347.93;9.1;128;19;11;13;1;Clermont-Ferrand;45.120;3.58
2016;11.9;17.7;6.0;610.01;8.7;170;8;13;51;0;Clermont-Ferrand;45.121;3.59
